Command;Code NEC;RAW 38kHz
Standby;0x41BE00FF;{8900, 4500, 500, 600, 550, 1700, 500, 600, 550, 550, 500, 600, 550, 600, 550, 550, 500, 1750, 550, 1650, 550, 550, 600, 1650, 550, 1700, 500, 1700, 600, 1650, 550, 1700, 500, 600, 550, 550, 550, 600, 500, 600, 550, 550, 550, 600, 500, 600, 550, 550, 550, 600, 500, 1750, 500, 1700, 550, 1650, 550, 1700, 550, 1700, 550, 1650, 500, 1750, 550, 1700, 550}
Bass +;0x41BE906F;"{8900,4500, 500,600, 550,1700, 500,600, 550,550, 500,600, 550,550, 600,550, 500,1750, 550,1700, 500,550, 600,1700, 500,1700, 500,1750, 550,1700, 500,1700, 500,600, 550,1700, 500,600, 550,550, 550,1700, 550,550, 550,550, 550,600, 550,550, 550,550, 550,1700, 550,1700, 550,550, 550,1700, 550,1700, 500,1700, 550,1700, 550};"
Bass -;0x41BEE01F;{8900,4450, 600,550, 500,1750, 550,550, 500,600, 550,550, 600,550, 500,600, 550,1700, 500,1700, 550,600, 500,1750, 500,1700, 550,1650, 550,1700, 550,1700, 550,550, 550,1700, 550,1650, 550,1700, 550,550, 550,600, 550,550, 550,550, 500,650, 550,550, 550,550, 500,650, 500,1700, 500,1750, 550,1700, 500,1700, 500,1750, 550}
Treble +;0x41BE8877;"{8900,4500, 500,600, 550,1700, 500,600, 550,550, 600,550, 500,600, 550,550, 550,1700, 550,1700, 500,600, 550,1700, 500,1700, 550,1700, 550,1650, 550,1700, 550,550, 550,1700, 550,550, 550,600, 550,550, 550,1700, 550,550, 550,550, 500,650, 550,550, 550,1700, 500,1700, 500,1750, 550,550, 500,1750, 550,1700, 500,1700, 500};"
Treble -;0x41BED02F;"{8900,4500, 500,600, 500,1750, 500,550, 550,600, 550,550, 550,550, 550,600, 550,1650, 550,1700, 550,550, 500,1750, 550,1700, 500,1700, 500,1750, 550,1700, 500,600, 550,1700, 500,1700, 500,650, 500,1700, 500,600, 550,600, 550,550, 500,600, 550,600, 550,550, 500,1750, 550,550, 500,1700, 600,1700, 500,1700, 500,1750, 500};"
Input;0x41BE10EF;"{8900,4500, 500,600, 550,1700, 500,600, 550,550, 500,600, 550,550, 600,550, 500,1750, 550,1700, 500,550, 600,1700, 500,1700, 500,1750, 500,1750, 500,1700, 500,600, 550,550, 550,600, 500,600, 550,1700, 500,600, 550,550, 550,550, 550,600, 550,1650, 550,1700, 550,1700, 550,550, 550,1700, 550,1650, 500,1750, 550,1700, 500};"
Mute;0x41BE08F7;"{8900,4450, 550,600, 500,1750, 500,600, 500,600, 550,550, 550,600, 500,600, 550,1700, 500,1750, 500,550, 550,1700, 550,1700, 550,1700, 450,1750, 550,1700, 550,550, 550,550, 500,650, 500,600, 550,550, 550,1700, 550,550, 500,650, 500,600, 550,1700, 500,1750, 500,1700, 550,1700, 500,600, 550,1700, 500,1700, 550,1700, 550};"
Mode;0x41BE708F;"{8900,4500, 500,600, 550,1700, 500,600, 550,550, 500,600, 550,600, 550,550, 500,1750, 550,1700, 500,550, 600,1700, 500,1700, 500,1750, 500,1750, 500,1700, 500,600, 550,550, 550,1750, 500,1700, 500,1750, 500,600, 500,600, 550,550, 550,550, 550,1700, 550,550, 550,600, 550,550, 550,1700, 550,1700, 450,1750, 550,1700, 500};"
Surr +;0x41BE807F;"{8900,4500, 500,650, 450,1750, 500,650, 450,650, 500,600, 500,650, 450,650, 500,1700, 500,1750, 500,600, 500,1750, 500,1700, 500,1750, 500,1750, 500,1700, 500,650, 500,1700, 500,650, 500,600, 500,600, 500,650, 500,600, 500,600, 500,650, 500,600, 500,1700, 550,1700, 500,1750, 450,1750, 500,1750, 500,1750, 450,1750, 500};"
Surr -;0x41BE20DF;"{8900,4500, 550,550, 550,1700, 550,550, 550,600, 500,600, 550,550, 550,600, 500,1750, 500,1700, 550,550, 550,1700, 550,1700, 450,1750, 550,1700, 550,1700, 450,650, 500,600, 550,550, 500,1750, 550,550, 500,650, 500,600, 550,550, 500,650, 500,1750, 500,1700, 550,550, 550,1700, 550,1650, 550,1700, 550,1700, 550,1700, 500}; "
